"","date","cause","source","location","substance","volume","year_quarter"
"276","2/3/2011","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"277","3/5/2007","Equipment Failure","well","MEDICINE HAT","gas",2,1
"278","3/26/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"279","4/3/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"280","8/28/2009","Equipment Failure","well","MEDICINE HAT","water",1,3
"281","10/9/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"282","4/6/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"283","5/14/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"284","3/28/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"285","7/15/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"286","11/21/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"287","12/23/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"288","11/24/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"289","5/13/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"290","6/2/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"291","3/13/2006","Operator Error","well","MEDICINE HAT","water",2,1
"292","3/1/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"293","5/29/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"294","11/14/2006","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"295","4/8/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"296","11/24/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"297","2/18/2005","Equipment Failure","battery","MEDICINE HAT","oil",1,1
"298","4/28/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"299","8/25/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"300","4/7/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"301","3/24/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"302","4/10/2008","Equipment Failure","well","MEDICINE HAT","gas",2,2
"303","5/10/2007","Operator Error","well","MEDICINE HAT","water",1,2
"304","1/24/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"305","5/31/2006","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"306","5/29/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"307","5/1/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"308","4/26/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"309","6/12/2003","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"310","6/21/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"311","5/16/2003","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"312","8/18/2011","Operator Error","well","MEDICINE HAT","water",1,3
"313","4/27/2004","Equipment Failure","battery","MEDICINE HAT","water",2,2
"314","12/10/2007","Equipment Failure","battery","MEDICINE HAT","water",1,4
"315","2/7/2008","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"316","4/15/2003","Equipment Failure","well","MEDICINE HAT","water",1,2
"317","7/25/2011","Operator Error","well","MEDICINE HAT","water",1,3
"318","9/13/2006","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"319","7/20/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"320","2/4/2004","Equipment Failure","battery","MEDICINE HAT","water",2,1
"321","5/4/2007","Equipment Failure","battery","MEDICINE HAT","oil",1,2
"322","5/27/2010","Equipment Failure","battery","MEDICINE HAT","water",1,2
"323","9/18/2012","Equipment Failure","pipeline","MEDICINE HAT","oil",1,3
"324","7/21/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"325","3/14/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"326","11/5/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"327","10/30/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,4
